canonical_verlan,variants,base_forms,is_multiword,has_hyphen,variant_count,raw_count,doc_count,pmw,share_of_all_verlan_hits
meuf,meuf,femme,False,False,1,79,79,19.3026,0.150476
çacomme,ça comme,comme ça,True,False,1,70,70,17.1036,0.133333
ken,ken,niquer,False,False,1,43,43,10.5065,0.081905
teuf,teuf,fête,False,False,1,37,37,9.0405,0.070476
barjo,barjo,jobard,False,False,1,26,26,6.3528,0.049524
zarbi,zarbi,bizarre,False,False,1,25,25,6.1084,0.047619
vénère,vénère,énervé,False,False,1,15,15,3.6651,0.028571
resta,resta,star de star,False,False,1,13,13,3.1764,0.024762
tej,tej,jeter,False,False,1,12,12,2.932,0.022857
reum,reum,mère,False,False,1,10,10,2.4434,0.019048
scud,scud,disque,False,False,1,9,9,2.199,0.017143
zarb,zarb,bizarre,False,False,1,9,9,2.199,0.017143
laissebéton,laisse béton,laisser tomber,True,False,1,8,8,1.9547,0.015238
zen,zen,nez,False,False,1,8,8,1.9547,0.015238
pécho,pécho,choper,False,False,1,7,7,1.7104,0.013333
duper,duper,perdu,False,False,1,7,7,1.7104,0.013333
keuf,keuf,flic,False,False,1,7,7,1.7104,0.013333
zinc,zinc,cousin,False,False,1,7,7,1.7104,0.013333
loubard,loubard,balourd,False,False,1,6,6,1.466,0.011429
barjot,barjot,jobard,False,False,1,6,6,1.466,0.011429
beu,beu,herbe,False,False,1,6,6,1.466,0.011429
ripou,ripou,pourri,False,False,1,5,5,1.2217,0.009524
donf,donf,fond,False,False,1,5,5,1.2217,0.009524
tepu,tepu,pute,False,False,1,4,4,0.9773,0.007619
visser,visser,servir,False,False,1,3,3,0.733,0.005714
keum,keum,mec,False,False,1,3,3,0.733,0.005714
zique,zique,musique,False,False,1,3,3,0.733,0.005714
tèj,tèj,jeter,False,False,1,3,3,0.733,0.005714
dreu,dreu,poudre,False,False,1,3,3,0.733,0.005714
reufré,reufré,frère,False,False,1,3,3,0.733,0.005714
relou,relou,lourd,False,False,1,3,3,0.733,0.005714
das,das,sida,False,False,1,2,2,0.4887,0.00381
chichon,chichon,haschich,False,False,1,2,2,0.4887,0.00381
àdonf,à donf,à fond,True,False,1,2,2,0.4887,0.00381
taspé,taspé,pétasse,False,False,1,2,2,0.4887,0.00381
teub,teub,bite de bite,False,False,1,2,2,0.4887,0.00381
reup,reup,père,False,False,1,2,2,0.4887,0.00381
deouf,de ouf,fou,True,False,1,2,2,0.4887,0.00381
bedave,bedave,daube,False,False,1,1,1,0.2443,0.001905
tehon,tehon,honte,False,False,1,1,1,0.2443,0.001905
barje,barje,jobard,False,False,1,1,1,0.2443,0.001905
feuge,feuge,juif,False,False,1,1,1,0.2443,0.001905
guedin,guedin,dingue,False,False,1,1,1,0.2443,0.001905
painco,painco,copain,False,False,1,1,1,0.2443,0.001905
chelou,chelou,louche,False,False,1,1,1,0.2443,0.001905
feuj,feuj,juif,False,False,1,1,1,0.2443,0.001905
zyva,zy-va|zyva,vas-y,False,True,2,1,1,0.2443,0.001905
oinj,oinj,joint,False,False,1,1,1,0.2443,0.001905
tarpé,tarpé,pétard,False,False,1,1,1,0.2443,0.001905
téci,téci,cité,False,False,1,1,1,0.2443,0.001905
skeud,skeud,disque,False,False,1,1,1,0.2443,0.001905
teushi,teushi,shit,False,False,1,1,1,0.2443,0.001905
sema,sema,masse,False,False,1,1,1,0.2443,0.001905
