verlan_form,base_form,cosine_similarity
meuf,femme,0.5818699598312378
çacomme,comme ça,0.6212708950042725
ken,niquer,0.3500775098800659
teuf,fête,0.34778591990470886
barjo,jobard,0.4122699201107025
zarbi,bizarre,0.22870922088623047
vénère,énervé,0.4221307635307312
resta,star de star,0.29736873507499695
tej,jeter,0.3066207766532898
reum,mère,0.24747246503829956
scud,disque,0.27924612164497375
zarb,bizarre,0.25645753741264343
laissebéton,laisser tomber,0.4475541412830353
zen,nez,0.6350038647651672
pécho,choper,0.48120930790901184
duper,perdu,0.34411531686782837
keuf,flic,0.3597579896450043
zinc,cousin,0.20726852118968964
loubard,balourd,0.5677143931388855
barjot,jobard,0.4505479037761688
beu,herbe,0.3000963032245636
ripou,pourri,0.40084126591682434
donf,fond,0.41615501046180725
tepu,pute,0.43859779834747314
visser,servir,0.37908539175987244
keum,mec,0.22991105914115906
zique,musique,0.3093688488006592
tèj,jeter,0.34494492411613464
dreu,poudre,0.332363098859787
reufré,frère,0.3968595564365387
relou,lourd,0.44705742597579956
das,sida,0.3290158212184906
chichon,haschich,0.47165271639823914
àdonf,à fond,0.3658117651939392
taspé,pétasse,0.3940228521823883
teub,bite de bite,0.2627338469028473
reup,père,0.229542538523674
deouf,fou,0.5248532295227051
bedave,daube,0.3845354914665222
tehon,honte,0.30835291743278503
barje,jobard,0.3291782736778259
feuge,juif,0.37436333298683167
guedin,dingue,0.41110745072364807
painco,copain,0.35448363423347473
chelou,louche,0.5012047290802002
feuj,juif,0.5865352749824524
zyva,vas-y,0.4597914218902588
oinj,joint,0.37747955322265625
tarpé,pétard,0.3645259141921997
téci,cité,0.378700852394104
skeud,disque,0.253190815448761
teushi,shit,0.2765691578388214
sema,masse,0.30247071385383606
